NIGHT,Closed Frac
2019-04-01,0
2019-04-02,0.3
2019-04-03,0
2019-04-04,0.2
2019-04-05,1
2019-04-06,0
2019-04-07,0
2019-04-08,0
2019-04-09,0
2019-04-10,0
2019-04-11,0.4
2019-04-12,0
2019-04-13,0
2019-04-14,0
2019-04-15,0
2019-04-16,1
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,0.8
2019-04-21,0.2
2019-04-22,0.3
2019-04-23,0
2019-04-24,0
2019-04-25,0
2019-04-26,0
2019-04-27,0
2019-04-28,0.67
2019-04-29,0.11
2019-04-30,0
2019-05-01,0
2019-05-02,0
2019-05-03,0
2019-05-04,0
2019-05-05,0
2019-05-16,0
2019-05-17,0
2019-05-18,0
2019-05-19,1
2019-05-20,0.13
2019-05-21,1
2019-05-22,0.5
2019-05-23,0
2019-05-24,0
2019-05-25,0
2019-05-26,0.75
2019-05-27,0
2019-05-28,0
2019-05-29,0
2019-05-30,0
2019-05-31,0
2019-06-01,0.88
2019-06-02,0